fight_id,round_no,r_id,b_id,r_kd,b_kd,r_sig_landed,r_sig_atmp,b_sig_landed,b_sig_atmp,r_total_str_landed,r_total_str_atmp,b_total_str_landed,b_total_str_atmp,r_td_success,r_td_atmp,b_td_success,b_td_atmp,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_str_landed_head,r_sig_str_atmp_head,b_sig_str_landed_head,b_sig_str_atmp_head,r_sig_str_landed_body,r_sig_str_atmp_body,b_sig_str_landed_body,b_sig_str_atmp_body,r_sig_str_landed_leg,r_sig_str_atmp_leg,b_sig_str_landed_leg,b_sig_str_atmp_leg,r_sig_str_landed_distance,r_sig_str_atmp_distance,b_sig_str_landed_distance,b_sig_str_atmp_distance,r_sig_str_landed_clinch,r_sig_str_atmp_clinch,b_sig_str_landed_clinch,b_sig_str_atmp_clinch,r_sig_str_landed_ground,r_sig_str_atmp_ground,b_sig_str_landed_ground,b_sig_str_atmp_ground
0fea1cff62e26b46,3,efb9a43415a56d34,7b310409440c9102,0,0,9,21,3,7,56,80,23,31,0,0,0,3,0,0,0,0,3:25,0:28,2,10,2,5,0,1,0,1,7,10,1,1,3,8,3,6,0,1,0,0,6,12,0,1
baf3a89def6d4948,1,d538f13ab21d9633,3c8a5200436e19f3,0,0,16,34,19,46,20,38,19,47,0,0,0,0,0,0,0,0,0:52,0:00,4,20,3,22,8,9,1,6,4,5,15,18,15,33,19,46,1,1,0,0,0,0,0,0
baf3a89def6d4948,2,d538f13ab21d9633,3c8a5200436e19f3,0,0,11,34,23,60,11,34,44,82,1,1,1,3,0,1,0,0,1:02,0:27,6,27,15,48,3,5,3,4,2,2,5,8,11,33,20,56,0,1,0,0,0,0,3,4
baf3a89def6d4948,3,d538f13ab21d9633,3c8a5200436e19f3,0,1,11,26,15,40,11,26,15,40,0,0,0,0,0,0,0,0,0:00,0:02,4,16,7,31,6,8,0,1,1,2,8,8,11,26,15,40,0,0,0,0,0,0,0,0
8bd1f8cb9aa06dcf,1,92aafa8f4b26269b,696002b59f09d73b,2,0,9,28,0,3,9,28,0,3,0,0,0,0,0,0,0,0,0:04,0:00,6,24,0,3,0,1,0,0,3,3,0,0,8,26,0,3,0,0,0,0,1,2,0,0
4186686dbd9957cd,1,7f955f71fa2ce7ac,3a8176e15b9887c1,0,0,10,29,14,46,10,29,16,48,0,0,0,3,0,0,0,0,0:00,0:58,5,21,10,42,2,4,0,0,3,4,4,4,10,28,12,41,0,1,2,5,0,0,0,0
c2c20a04a78d9143,1,2e45d08b3f2f02c8,3c8a5200436e19f3,1,0,6,12,9,18,6,12,9,18,0,0,0,0,0,0,0,0,0:01,0:00,1,6,1,9,4,4,1,2,1,2,7,7,6,11,9,18,0,0,0,0,0,1,0,0
4186686dbd9957cd,2,7f955f71fa2ce7ac,3a8176e15b9887c1,0,0,10,23,17,28,11,24,45,62,0,0,2,2,0,0,1,0,0:03,3:07,2,14,15,26,6,7,0,0,2,2,2,2,7,17,10,18,3,5,0,1,0,1,7,9
0459297e86a14981,1,7a703c565ccaa18f,e1147d3d2dabe1ce,0,0,5,24,18,39,8,27,19,40,1,2,0,0,0,0,0,0,0:48,0:04,4,21,15,34,1,3,3,5,0,0,0,0,2,20,17,38,3,4,1,1,0,0,0,0
7bbb46df42383d73,1,9b5b5a75523728f3,12458872d6afae1b,0,0,1,2,3,5,3,4,11,13,4,4,0,0,2,0,0,1,,,0,0,3,4,0,0,0,0,1,2,0,1,1,2,1,2,0,0,0,0,0,0,2,3
d6b3c56a4cf14c1a,1,e1147d3d2dabe1ce,34e552520a934063,1,0,31,61,15,59,35,65,19,63,0,0,0,1,0,0,0,0,0:16,1:45,19,47,4,41,8,10,6,12,4,4,5,6,17,39,7,50,8,11,8,9,6,11,0,0
379f6356feb17a2c,1,d468288756ae3982,22d1e00e1aabb7c9,0,0,13,40,9,44,16,44,17,52,1,3,0,0,0,0,0,0,,,7,33,6,37,2,3,3,7,4,4,0,0,9,34,5,32,4,6,4,12,0,0,0,0
3333fdbe86a763fb,1,2e25c1d983c26311,e1147d3d2dabe1ce,1,0,20,40,17,45,20,40,17,45,0,4,1,1,1,0,0,0,0:03,0:10,11,28,17,45,4,6,0,0,5,6,0,0,16,33,15,40,4,7,2,5,0,0,0,0
294a9e9780afa789,1,82e7929bf6c2b689,3dd949593346dbc3,0,0,13,26,8,9,29,48,15,18,1,1,0,0,0,1,0,0,4:54,0:00,9,22,6,7,4,4,2,2,0,0,0,0,1,4,4,4,0,0,0,0,12,22,4,5
4186686dbd9957cd,3,7f955f71fa2ce7ac,3a8176e15b9887c1,0,0,7,19,14,31,13,26,37,61,0,0,3,3,0,0,0,0,0:00,3:55,4,15,14,31,3,4,0,0,0,0,0,0,3,15,3,13,2,2,0,1,2,2,11,17
0459297e86a14981,2,7a703c565ccaa18f,e1147d3d2dabe1ce,0,1,4,12,37,71,5,13,38,72,0,1,0,0,0,0,0,0,0:00,0:21,2,10,32,63,2,2,4,7,0,0,1,1,4,12,23,47,0,0,0,3,0,0,14,21
7bbb46df42383d73,2,9b5b5a75523728f3,12458872d6afae1b,0,0,2,5,7,8,4,7,9,12,1,2,0,0,2,2,2,2,,,2,2,3,4,0,0,4,4,0,3,0,0,0,3,1,2,0,0,0,0,2,2,6,6
d6b3c56a4cf14c1a,2,e1147d3d2dabe1ce,34e552520a934063,0,0,15,40,19,41,17,42,42,71,0,0,1,3,0,0,0,0,0:06,2:30,11,30,10,29,4,9,7,10,0,1,2,2,9,31,14,33,6,9,3,6,0,0,2,2
379f6356feb17a2c,2,d468288756ae3982,22d1e00e1aabb7c9,0,0,14,30,5,14,23,39,16,28,0,1,1,3,0,0,0,0,,,3,17,3,12,10,12,2,2,1,1,0,0,4,19,2,11,10,11,3,3,0,0,0,0
3333fdbe86a763fb,2,2e25c1d983c26311,e1147d3d2dabe1ce,0,1,12,43,28,56,12,43,29,57,0,2,0,0,0,0,0,0,0:00,0:00,7,35,28,56,2,4,0,0,3,4,0,0,9,39,19,39,3,4,9,17,0,0,0,0
294a9e9780afa789,2,82e7929bf6c2b689,3dd949593346dbc3,0,0,12,19,7,14,18,28,30,40,1,2,0,0,0,0,0,0,4:43,0:05,9,16,7,14,3,3,0,0,0,0,0,0,0,0,2,7,0,0,1,1,12,19,4,6
7bbb46df42383d73,3,9b5b5a75523728f3,12458872d6afae1b,0,0,7,11,0,4,9,13,6,10,1,1,0,0,3,0,0,0,,,3,4,0,3,1,2,0,0,3,5,0,1,4,7,0,3,0,0,0,1,3,4,0,0
d6b3c56a4cf14c1a,3,e1147d3d2dabe1ce,34e552520a934063,0,0,37,101,21,71,37,101,21,71,0,0,0,1,0,0,0,0,0:00,0:00,34,95,15,63,3,6,5,7,0,0,1,1,34,97,21,71,3,4,0,0,0,0,0,0
379f6356feb17a2c,3,d468288756ae3982,22d1e00e1aabb7c9,0,0,26,45,9,19,32,51,18,31,0,4,0,5,1,0,0,0,,,16,34,9,19,4,5,0,0,6,6,0,0,16,34,9,19,10,11,0,0,0,0,0,0
3333fdbe86a763fb,3,2e25c1d983c26311,e1147d3d2dabe1ce,0,1,1,8,8,12,1,8,8,12,0,0,0,0,0,0,0,0,0:00,0:04,0,6,8,12,0,0,0,0,1,2,0,0,1,8,6,9,0,0,0,0,0,0,2,3
294a9e9780afa789,3,82e7929bf6c2b689,3dd949593346dbc3,0,1,21,32,3,19,35,48,19,36,1,1,0,0,0,0,0,0,4:45,0:03,16,27,3,18,5,5,0,1,0,0,0,0,2,4,2,6,1,1,0,0,18,27,1,13
fe1130f34dea28d8,1,5ea918ea81b7dee2,b9c03e7a4557e542,0,0,5,16,2,4,33,45,29,34,0,0,1,1,0,0,1,0,2:10,2:29,4,15,0,1,1,1,1,1,0,0,1,2,2,8,1,3,1,2,1,1,2,6,0,0
44bb89b85f89c7a6,1,7684c8137b4545ba,7c9f96f9a6a5cd50,0,0,10,20,23,36,12,22,23,36,2,6,0,0,0,0,0,0,,,5,10,9,19,5,9,13,16,0,1,1,1,0,7,2,11,4,7,21,25,6,6,0,0
c037cdc1de53de8e,1,3a8176e15b9887c1,7a703c565ccaa18f,0,0,23,68,14,30,23,68,15,31,0,0,0,0,0,0,0,0,0:00,0:00,21,65,5,16,2,3,5,7,0,0,4,7,21,66,11,27,2,2,3,3,0,0,0,0
fe1130f34dea28d8,2,5ea918ea81b7dee2,b9c03e7a4557e542,0,0,13,31,12,18,30,50,46,56,0,0,1,1,0,0,0,0,0:00,3:11,13,31,5,11,0,0,1,1,0,0,6,6,11,26,7,11,2,5,2,3,0,0,3,4
9a6a6716cdfadc98,1,1f454354805b6f75,3a8176e15b9887c1,0,0,9,18,11,27,15,26,21,39,0,0,1,2,0,2,0,0,0:00,1:52,4,11,11,26,1,2,0,1,4,5,0,0,9,18,6,14,0,0,0,0,0,0,5,13
44bb89b85f89c7a6,2,7684c8137b4545ba,7c9f96f9a6a5cd50,0,0,10,16,36,43,13,19,62,73,1,3,0,3,0,0,0,0,,,3,8,16,23,3,3,13,13,4,5,7,7,1,5,16,21,9,11,20,22,0,0,0,0
c037cdc1de53de8e,2,3a8176e15b9887c1,7a703c565ccaa18f,0,0,26,64,31,59,34,72,50,78,1,1,0,0,0,0,0,0,0:43,0:00,16,50,19,43,8,12,10,13,2,2,2,3,23,58,21,46,3,6,9,12,0,0,1,1
547698916e1b255e,1,c0c1bc0766df4c00,4834ff149dc9542a,0,0,28,49,26,43,67,98,30,47,2,3,0,1,0,0,0,0,,,9,25,5,17,14,19,15,18,5,5,6,8,4,17,21,36,14,21,5,7,10,11,0,0
fe1130f34dea28d8,3,5ea918ea81b7dee2,b9c03e7a4557e542,0,0,9,20,4,7,44,57,13,16,0,0,1,2,0,0,1,0,1:47,2:08,9,20,1,3,0,0,1,1,0,0,2,3,6,11,4,7,0,0,0,0,3,9,0,0
9a6a6716cdfadc98,2,1f454354805b6f75,3a8176e15b9887c1,0,1,5,6,5,16,5,6,5,16,0,0,0,1,0,0,0,0,0:00,0:03,0,1,5,16,0,0,0,0,5,5,0,0,5,6,2,11,0,0,0,0,0,0,3,5
44bb89b85f89c7a6,3,7684c8137b4545ba,7c9f96f9a6a5cd50,0,0,19,21,42,56,20,22,100,117,1,6,0,1,0,0,0,0,,,12,14,24,38,6,6,15,15,1,1,3,3,0,2,7,14,18,18,35,42,1,1,0,0
c037cdc1de53de8e,3,3a8176e15b9887c1,7a703c565ccaa18f,0,1,19,61,29,43,19,61,35,49,0,0,0,0,0,0,0,0,0:00,0:07,15,56,18,30,4,5,9,11,0,0,2,2,17,58,25,36,2,3,3,6,0,0,1,1
547698916e1b255e,2,c0c1bc0766df4c00,4834ff149dc9542a,0,0,7,18,16,25,27,41,24,33,2,5,0,0,0,0,0,0,,,2,11,5,10,2,4,7,11,3,3,4,4,0,7,12,18,3,7,4,7,4,4,0,0
1645ed92dcdc5c03,1,bf7ad5628363eec9,ba5e253af86db1a8,0,0,23,51,19,47,26,54,28,58,2,3,0,1,0,0,0,0,2:10,0:13,18,43,12,38,4,7,3,5,1,1,4,4,14,32,18,42,2,5,1,3,7,14,0,2
1645ed92dcdc5c03,2,bf7ad5628363eec9,ba5e253af86db1a8,0,0,36,52,20,56,51,67,25,63,3,5,0,0,0,0,0,0,1:59,0:03,25,40,13,46,9,9,6,7,2,3,1,3,16,27,14,46,5,8,4,8,15,17,2,2
b2eccc1b75633d3d,1,6c7e25571490aa3b,2de91c2244ad7e89,0,0,38,67,9,44,45,74,9,44,1,1,2,2,0,0,0,0,0:52,1:18,21,47,8,42,11,13,1,1,6,7,0,1,20,44,9,43,8,8,0,1,10,15,0,0
1645ed92dcdc5c03,3,bf7ad5628363eec9,ba5e253af86db1a8,0,0,35,57,21,49,47,73,25,56,3,4,0,0,0,0,0,0,2:40,0:00,31,52,16,43,1,2,3,4,3,3,2,2,19,32,21,47,2,6,0,2,14,19,0,0
b2eccc1b75633d3d,2,6c7e25571490aa3b,2de91c2244ad7e89,0,0,12,18,1,5,38,44,2,6,1,1,1,1,3,0,0,0,3:45,0:51,5,10,1,5,6,6,0,0,1,2,0,0,1,5,1,5,2,2,0,0,9,11,0,0
b2eccc1b75633d3d,3,6c7e25571490aa3b,2de91c2244ad7e89,0,0,4,11,3,4,20,27,21,22,0,0,2,2,0,0,1,0,1:24,3:16,3,8,3,4,1,3,0,0,0,0,0,0,0,2,0,1,0,0,1,1,4,9,2,2
5bb74bc322638f4d,1,492b202d2064e7a9,3144121470023e9a,0,0,0,2,1,4,24,26,6,9,2,3,0,0,2,0,0,2,,,0,2,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3
554176480a3519c0,1,492b202d2064e7a9,8349d55cdecd393a,0,1,12,26,18,42,17,31,26,50,0,1,0,0,0,0,0,0,0:13,1:21,7,20,14,38,1,2,0,0,4,4,4,4,11,20,5,14,1,6,7,12,0,0,6,16
554176480a3519c0,2,492b202d2064e7a9,8349d55cdecd393a,0,1,7,12,1,8,18,25,6,14,1,2,0,1,0,0,2,1,2:06,1:59,4,9,1,8,0,0,0,0,3,3,0,0,4,8,1,5,3,4,0,0,0,0,0,3
06d9fb9c995f1e4f,1,d66a46de8d705353,4aa58269d0664b5b,0,1,17,38,11,18,35,69,15,23,2,4,0,0,0,0,0,0,3:31,0:59,14,34,10,17,3,4,1,1,0,0,0,0,3,8,4,5,2,3,4,5,12,27,3,8
2a17686c6b5f334e,1,3a8176e15b9887c1,1f454354805b6f75,1,0,19,38,6,7,33,54,30,37,1,1,0,0,1,0,0,0,4:20,0:00,18,36,2,3,1,2,4,4,0,0,0,0,0,3,0,0,2,2,4,5,17,33,2,2
554176480a3519c0,3,492b202d2064e7a9,8349d55cdecd393a,0,0,9,17,5,19,42,65,12,28,2,4,0,0,0,0,0,0,2:42,0:07,6,14,4,18,0,0,0,0,3,3,1,1,5,8,2,13,4,8,3,6,0,1,0,0
06d9fb9c995f1e4f,2,d66a46de8d705353,4aa58269d0664b5b,0,1,16,33,6,12,32,59,19,26,1,2,0,1,0,0,0,0,3:09,0:30,15,31,5,11,1,2,1,1,0,0,0,0,4,15,5,10,0,0,0,0,12,18,1,2
2a17686c6b5f334e,2,3a8176e15b9887c1,1f454354805b6f75,0,0,1,6,2,8,1,6,2,8,0,0,0,0,0,0,0,0,0:01,0:00,0,5,0,4,1,1,0,1,0,0,2,3,1,6,2,8,0,0,0,0,0,0,0,0
06d9fb9c995f1e4f,3,d66a46de8d705353,4aa58269d0664b5b,0,0,3,5,3,7,19,30,5,10,3,4,0,0,0,0,0,0,4:32,0:00,0,2,2,5,3,3,1,2,0,0,0,0,3,5,3,7,0,0,0,0,0,0,0,0
77992b8727382373,1,3a8176e15b9887c1,12ebd7d157e91701,0,0,20,30,4,8,32,46,4,8,1,2,0,0,0,0,0,0,3:09,0:00,9,16,3,6,2,4,1,2,9,10,0,0,6,13,4,8,5,7,0,0,9,10,0,0
77992b8727382373,2,3a8176e15b9887c1,12ebd7d157e91701,0,0,45,64,19,63,45,64,19,63,0,2,0,0,0,0,0,0,0:00,0:00,25,42,18,59,12,14,1,1,8,8,0,3,45,64,18,61,0,0,1,1,0,0,0,1
77992b8727382373,3,3a8176e15b9887c1,12ebd7d157e91701,1,0,10,17,7,17,11,19,7,17,0,0,0,0,0,0,0,0,0:06,0:00,10,16,7,16,0,1,0,1,0,0,0,0,5,11,7,17,0,0,0,0,5,6,0,0
67131f9a904a8c25,1,8349d55cdecd393a,60884f31ead1609c,0,0,23,40,0,7,43,66,0,7,0,0,0,1,2,0,0,0,,,21,38,0,7,1,1,0,0,1,1,0,0,3,5,0,5,4,10,0,2,16,25,0,0
ba5e8c30d41559fd,1,60884f31ead1609c,a9a314cc77d90b6e,0,0,10,10,20,23,37,37,42,48,1,4,0,0,0,0,0,0,1:52,0:44,10,10,11,14,0,0,7,7,0,0,2,2,0,0,4,6,2,2,15,16,8,8,1,1
ace14ca0397deedc,1,9b5b5a75523728f3,6f812143641ceff8,0,0,4,10,0,0,21,27,0,0,1,1,0,0,1,0,0,0,,,1,3,0,0,1,1,0,0,2,6,0,0,2,8,0,0,0,0,0,0,2,2,0,0
d0ebb0551377a1c1,1,4aa58269d0664b5b,5f3805dda9661cba,1,0,3,5,4,4,3,5,4,4,0,0,0,0,0,0,0,0,0:02,0:00,2,4,2,2,0,0,0,0,1,1,2,2,2,2,4,4,0,0,0,0,1,3,0,0
696ff200d98fa878,1,f9a20a17d712ef7c,5f3805dda9661cba,0,0,0,0,12,19,22,22,36,52,0,0,1,2,0,0,0,0,0:00,4:49,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19
